date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size
20241217,Orange3,747,20240717,Male,457,Fmr1_WT-Tsc2_WT,,"",BBN_20-80dB_100ms_4s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),41,418,0.904109589041096,0.158730158730159,20241217122851_164.888997003436_1.05317925997831,10
20241217,Orange4,748,20240717,Male,438,Fmr1_KO-Tsc2_Het,,"",BBN_20-80dB_100ms_8s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),46,463,0.900928792569659,0.121428571428571,20241217122852_178.846002370119_3.69031012050029,10
20241218,Orange1,745,20240717,Male,401,Fmr1_KO-Tsc2_WT,,"",BBN_40-70dB_300ms_24s,FXS x TSC,BBN,Training,None,BBN,BBN (Standard),24,242,0.988165680473373,0.397260273972603,20241218111249_127.46400386095_1.36151897723971,10
20241218,Orange2,746,20240717,Male,394,Fmr1_WT-Tsc2_Het,,"",BBN_30-90dB_300ms_20s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),41,413,0.961937716262976,0.120967741935484,20241218111250_173.022004589438_1.89608992086478,10
20241218,Orange3,747,20240717,Male,452,Fmr1_WT-Tsc2_WT,,"",BBN_20-80dB_100ms_4s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),45,459,0.919003115264798,0.159420289855073,20241218121300_79.0819991379976_3.39026645761354,10
20241218,Orange4,748,20240717,Male,434,Fmr1_KO-Tsc2_Het,,"",BBN_20-80dB_100ms_8s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),42,428,0.9,0.2890625,20241218121301_93.7920078635216_1.96100995616719,10
20241219,Orange1,745,20240717,Male,398,Fmr1_KO-Tsc2_WT,,"",BBN_40-70dB_300ms_24s,FXS x TSC,BBN,Training,None,BBN,BBN (Standard),24,247,0.994219653179191,0.472972972972973,20241219111144_98.2509959489107_3.81562369275929,10
20241219,Orange2,746,20240717,Male,399,Fmr1_WT-Tsc2_Het,,"",BBN_25-85dB_300ms_20s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),45,452,0.993690851735016,0.0888888888888889,20241219111145_122.267995029688_3.54476364039644,10
20241219,Orange3,747,20240717,Male,453,Fmr1_WT-Tsc2_WT,,"",BBN_15-75dB_100ms_4s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),39,394,0.84,0.252100840336134,20241219121115_70.2079977840185_2.21598031882711,10
20241219,Orange4,748,20240717,Male,438,Fmr1_KO-Tsc2_Het,,"",BBN_25-85dB_100ms_8s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),43,432,0.910596026490066,0.3,20241219121116_102.458003908396_3.48737757990483,10
20241220,Orange1,745,20240717,Male,396,Fmr1_KO-Tsc2_WT,,"",BBN_40-70dB_300ms_24s,FXS x TSC,BBN,Training,None,BBN,BBN (Standard),24,249,0.994285714285714,0.310810810810811,20241220111452_113.861995562911_3.20421278021093,10
20241220,Orange2,746,20240717,Male,389,Fmr1_WT-Tsc2_Het,,"",BBN_15-75dB_300ms_20s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),35,359,0.868525896414343,0.231481481481482,20241220111453_161.250000447035_3.26519636812727,10
20241220,Orange3,747,20240717,Male,454,Fmr1_WT-Tsc2_WT,,"",BBN_25-85dB_100ms_4s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),45,451,0.981012658227848,0.111111111111111,20241220121501_70.0500022619963_2.70536828554459,10
20241220,Orange4,748,20240717,Male,437,Fmr1_KO-Tsc2_Het,,"",BBN_25-85dB_100ms_12s,FXS x TSC,BBN,Baseline,None,BBN,BBN (Standard),49,498,0.979942693409742,0.120805369127517,20241220121502_70.1620012521744_2.89051793680437,10
20250107,Orange1,745,20240717,Male,489,Fmr1_KO-Tsc2_WT,,"",BBN_40-70dB_300ms_8s,FXS x TSC,BBN,Training,None,BBN,BBN (Standard),17,173,0.967213114754098,0.274509803921569,20250107111210_127.491996064782_1.27520415458386,10
20250107,Orange2,746,20240717,Male,432,Fmr1_WT-Tsc2_Het,,"",BBN_30-90dB_300ms_12s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),15,150,0.980952380952381,0.133333333333333,20250107111211_560.451003536582_3.18936232294318,10
20250107,Lime1,772,20240802,Male,512,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,19,0.842105263157895,,20250107121128_53.5550002008677_0.359940486473774,10
20250107,Lime2,774,20240802,Male,520,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,21,0.80952380952381,,20250107121129_77.789006754756_0.49711566788442,10
